target,p50_ns,p95_ns,p99_ns,mean_ns,max_ns
direct-27017,120584.0,179500.0,253447.33999999962,131574.19482546925,81828375
direct-27018,118250.0,160959.0,227791.3,126752.36429505571,73694416
direct-27019,118667.0,176917.0,244958.82,129088.06036425379,73034209
direct-27020,118584.0,157292.0,225377.5199999999,126223.61929087309,79228084
rs-primary-local,119750.0,175791.0,246166.02000000002,130337.73817874125,85478791
rs-secondary-causal-local,130458.0,172959.0,234917.0,137763.7207822916,61457708
rs-secondary-causal-majority,131208.0,187000.0,257292.0,141012.63793800923,61996458
rs-secondary-local,133750.0,188084.0,257167.0,142852.7723804694,76319333
rs-secondary-majority,132500.0,186292.0,260450.2099999999,141511.25365791123,73486667
