target,n_reads,p_fresh_overall,first_bucket_us_p99,last_bucket_us_below_1
direct-27017,349008,1.0,0,
direct-27018,348876,0.9977384514841949,500,1500.0
direct-27019,348929,0.9987504621283986,500,2000.0
direct-27020,348870,0.9993951901854559,500,0.0
rs-primary-local,348923,0.9999971340381689,0,102000.0
rs-secondary-causal-local,348973,1.0,0,
rs-secondary-causal-majority,349034,1.0,0,
rs-secondary-local,349057,0.9994585411551695,500,500.0
rs-secondary-majority,349086,0.892204213288416,14500,17500.0
