target,p50_ns,p95_ns,p99_ns,mean_ns,max_ns
direct-27017,120584.0,179500.0,253447.33999999962,131574.19482546925,81828375
direct-27018,118250.0,160959.0,227791.3,126752.36429505571,73694416
direct-27019,118667.0,176917.0,244958.82,129088.06036425379,73034209
direct-27020,118584.0,157292.0,225377.5199999999,126223.61929087309,79228084
rs-primary-local,119750.0,175791.0,246166.02000000002,130337.73817874125,85478791
rs-secondary-causal-local,139334.0,160625.0,212500.0,144134.1546188116,59841333
rs-secondary-causal-majority,138209.0,156750.0,254625.0,187636.82288303436,59437500
rs-secondary-local,133750.0,188084.0,257167.0,142852.7723804694,76319333
rs-secondary-majority,132500.0,186292.0,260450.2099999999,141511.25365791123,73486667
