target,count,mean,std,min,25%,50%,75%,max
direct-27017,351000.0,0.0001339031339031339,0.011570893884842203,0.0,0.0,0.0,0.0,1.0
direct-27018,351087.0,0.0030761606097633918,0.05537785279836208,0.0,0.0,0.0,0.0,1.0
direct-27019,351063.0,0.0030393405172291013,0.055046449092531785,0.0,0.0,0.0,0.0,1.0
direct-27020,351083.0,0.0009969152593546256,0.03155826763370485,0.0,0.0,0.0,0.0,1.0
rs-primary-local,351058.0,0.00016521486478017876,0.012852549917120554,0.0,0.0,0.0,0.0,1.0
rs-secondary-causal-local,351014.0,0.0026950492003167963,0.05184393472095635,0.0,0.0,0.0,0.0,1.0
rs-secondary-causal-majority,351090.0,0.05284115184140819,0.22371657754171434,0.0,0.0,0.0,0.0,1.0
rs-secondary-local,350953.0,0.002171230905562853,0.04654592178885202,0.0,0.0,0.0,0.0,1.0
rs-secondary-majority,350998.0,0.05280087066023168,0.22363604630286218,0.0,0.0,0.0,0.0,1.0
