write_concern,count,mean,std,min,1%,10%,50%,90%,95%,99%,99.9%,max
w:1,15807.0,0.502,0.685,0.169,0.192,0.229,0.539,0.624,0.678,0.897,1.412,82.162
w:majority,7911.0,10.477,2.379,4.948,5.07,9.017,9.058,13.533,14.571,15.544,28.558,35.355
