run_id,mode,target,round_index,path
20260917T050155Z__threaded-wmaj__direct-27017,isolated,direct-27017,1,measurements/20260917T050155Z__threaded-wmaj__direct-27017
20260917T050458Z__threaded-wmaj__direct-27018,isolated,direct-27018,1,measurements/20260917T050458Z__threaded-wmaj__direct-27018
20260917T050802Z__threaded-wmaj__direct-27019,isolated,direct-27019,1,measurements/20260917T050802Z__threaded-wmaj__direct-27019
20260917T051105Z__threaded-wmaj__direct-27020,isolated,direct-27020,1,measurements/20260917T051105Z__threaded-wmaj__direct-27020
20260917T051409Z__threaded-wmaj__rs-primary-local,isolated,rs-primary-local,1,measurements/20260917T051409Z__threaded-wmaj__rs-primary-local
20260917T051712Z__threaded-wmaj__rs-secondary-local,isolated,rs-secondary-local,1,measurements/20260917T051712Z__threaded-wmaj__rs-secondary-local
20260917T052015Z__threaded-wmaj__rs-secondary-majority,isolated,rs-secondary-majority,1,measurements/20260917T052015Z__threaded-wmaj__rs-secondary-majority
20260917T115025Z__threaded-wmaj__rs-secondary-causal-local,isolated,rs-secondary-causal-local,1,measurements/20260917T115025Z__threaded-wmaj__rs-secondary-causal-local
20260917T115328Z__threaded-wmaj__rs-secondary-causal-majority,isolated,rs-secondary-causal-majority,1,measurements/20260917T115328Z__threaded-wmaj__rs-secondary-causal-majority
