target,n_reads,p_fresh_overall,first_bucket_us_p99,last_bucket_us_below_1
direct-27017,350999,0.9998660964846053,500,0
direct-27018,351087,0.9969238393902367,1500,10000
direct-27019,351062,0.9969606508252103,1000,1000
direct-27020,351083,0.9990030847406454,1000,500
rs-primary-local,351057,0.9998347846645986,500,0
rs-secondary-causal-local,350915,0.9987318866392146,500,1500
rs-secondary-causal-majority,350940,0.955547956915712,13000,20500
rs-secondary-local,350953,0.9978287690944372,1000,9000
rs-secondary-majority,350998,0.9471991293397684,15500,19000
