condition,n,0.01,0.1,0.5,0.9,0.99,0.999
"w:1, j:None",15807,0.192,0.229,0.539,0.624,0.897,1.412
"w:majority, j:None",7911,5.07,9.017,9.058,13.533,15.544,28.558
