target,p50_ns,p95_ns,p99_ns,mean_ns,max_ns
rs-secondary-causal-local,139334.0,160625.0,212500.0,144134.1546188116,59841333
rs-secondary-causal-majority,138209.0,156750.0,254625.0,187636.82288303436,59437500
