target,count,mean,std,min,25%,50%,75%,max
rs-secondary-causal-local,350837.0,0.0026479533230531556,0.05139016631437938,0.0,0.0,0.0,0.0,1.0
rs-secondary-causal-majority,350915.0,0.005340324580026502,0.07288223823720223,0.0,0.0,0.0,0.0,1.0
