target,n_reads,p_fresh_overall,first_bucket_us_p99,last_bucket_us_below_1
direct-27017,351026,0.999299197210463,500,81500
direct-27018,350970,0.9921189845285922,1000,5500
direct-27019,351018,0.9929718703884132,1000,3000
direct-27020,350995,0.9963161868402683,1000,1000
rs-primary-local,350998,0.9991766334850911,500,102500
rs-secondary-causal-local,351020,0.9944447609822802,1000,2000
rs-secondary-causal-majority,351020,0.8855022505840123,16000,21000
rs-secondary-local,350998,0.9950797440441256,1000,2500
rs-secondary-majority,351020,0.8872884735912484,15000,18000
